,text,topic_label,sentiment,stockmarket
77941, RT @ManotoNews: بررسی تاثیرات بلند مدت وعده,economics,0,0
86451, @Khandoozi_se آقا دکتر خاندوزی یک گزارش کلی از اقدامات مدت وزارت و افق پیش رو به مردم بدهید. ,economics,0,0
74018," از روز رای اعتماد مجلس به کابینه #ابراهیم_رئیسی تا دهم آبان ماه شاخص کل #بورس تهران ۲۱۰ هزار واحد سقوط کرده است. ارزش بازار بورس تهران نیز در فاصله سوم شهریور ماه تا نهم آبان حدود یک میلیون میلیارد تومان سقوط کرده است. 
#راستی_آزمایی 
https://t.co/oCjk8KRegS ",economics,-1,1
80498," #وقت_عمل
#امنیت_سرمایه_گذاری 
#استیضاح_خاندوزی 
آقای #رئیسی صادق الوعده باشید و اعتماد از دست رفته رو برگردونید از زمان شما بورس ریزش شدید داشته https://t.co/oGNx9Qdlf7 ",economics,-1,1
96030," @twt__Fa7T7 مثلا چه تیم خوب بود تیم اقتصادی میشه بگید؟
خاندوزی خودش دکترای اقتصاد داره ",economics,1,1
77889, RT @NikookarAli: ۱. ♦️ ای کاش جناب خاندوزی و رضایی و.... تیم,economics,0,0
95747," RT @AliMokhtarzadeh: جناب آقایان #فاطمی_امین و #خاندوزی
توپ واردات خودرو با اصلاح قانون واردات خودرو  اکنون در زمین شماست،وزارت صمت باید نو… جناب آقایان #فاطمی_امین و #خاندوزی
توپ واردات خودرو با اصلاح قانون واردات خودرو  اکنون در زمین شماست،وزارت صمت باید نوع و تعداد و وزارت اقتصادبایدمنبع ارزی رامشخص کند.از این پس گرانی وآشفتگی در بازارخودرو مستقیما گردن شماست.
پ",economics,0,0
91756," @Khandoozi_se آقای خاندوزی مالیات پزشکان  رو دریابید.. اخیرا"" دوباره به پول گرفتن رو آوردن ",economics,0,0
79260,"موسوی نایب رییس کمیسیون اقتصادی مجلس:

با ۵۰ امضا استیضاح خاندوزی کلید خورد

وی که پس از پیروزی ابراهیم رئیسی به کرسی ریاست ساختمان باب همایون رسید اکنون تنها نظاره گر اوضاع اقتصادی کشور است
نه از بهبود بازار ارز و طلا و سکه خبری است نه از سرو سامان دادن به بازار سرمایه. https://t.co/QCmSgknwCk #بیست_پنج_اقفساد_نادان #استیضاح_وزیر_ناکارآمد
#استیضاح_خاندوزی 
#بورس_ارزان 
#نمره_صفر_به_عملکرد_دولت_رئیسی #نمره_صفر_به_عملکرد_خاندوزی 
#امنیت_سرمایه_گذاری  #نه_به_قیمت_گذاری_دستوری
#رئیسی_بورس_رو_دریاب 
#بورس
 #بورس_دغدغه_مردم
#وقت_عمل
#بورس_را_دریابید https://t.co/H4hcmWz7LL ",economics,-1,1
92057, نامه,economics,0,0
84486, RT @Mehrab93930892: اقای خاندوزی با سیاست های غلط تون دارید بازار سرمایه رو نابود می,economics,-1,1
81619, @khabarizad @Khandoozi_se ظاهرا از صندوق درآمد ثابت هم باید فرار کنیم به لطف خاندوزی ,economics,-1,0
79886," RT @Aliasgh11604415: 🩸از سهم جوانان وطن لاله دمیده🌷
چهارشنبه یکم دی ماه 
ساعت ۱۰ صبح  
تجمع میلیونی سهامدارن بورس 
تهران میدان پاستور نهاد… 🩸از سهم جوانان وطن لاله دمیده🌷
چهارشنبه یکم دی ماه 
ساعت ۱۰ صبح  
تجمع میلیونی سهامدارن بورس 
تهران میدان پاستور نهاد ریاست جمهوری
#وعده_های_بورسی_چه_شد؟
#استیضاح_خاندوزی 
﷼&amp; https://t.co/UdIsXMMT0A",economics,-1,1
92175," #خاندوزی گفته دلار رو بیارم پایین #بورس میریزه
بقول بزرگان 
اینقدر دوست دارم که، نگران خودمم 
حاجی تو دلار رو بیست کن ما راضی به ضرریم ",economics,0,1
97478, @Reporter_ANE خب باید در کنارش حسن مدیریت آقای خاندوزی باید نشان داده بشه تا همه چیز مدیریت شود. ,economics,1,0
78542, @sedagha0 اتفاقا خاندوزی جزو معدود کسایی بود که هشدار داد. نداد؟ ,economics,1,0
82825," @behnamsamadi_ir تا دیروز خوب بود. امروز چون سبد آقای صمدی منفی شد خاندوزی بد شد.
برید به توییت های همین 2 ماه پیش ایشون نگاه کنید. تا یه مدت هم مشکل همتی بود بنظرش. ",economics,1,1
58085, محسن رضایی، معاون اقتصادی ابراهیم رئیسی گفت: بیش از سه سال است که بدون دلیل قانونی ما را محاصره اقتصادی کرده,economics,0,0
8924," هر باری که برن مذاکره و خبر مثبتی نیاد سه چهار درصد میره رو قیمت دلار. اون وقت یه احمقی   میگه اقتصاد رو به مذاکره گره نمیزنیم و یه مشت عرزشی این خزعبلات رو تکرار میکنن. مگه دست توئه آخه ؟ 
#مذاکرات_وین #برجام ",economics,-1,0
91504," RT @Soroush1359: @Khandoozi_se صدای سیلی استاندار رو شنیدین؟ 
از غارت مردم تو بورس خسته نشدین ؟
#ریيسی_از_بورس_بگو 
#رییسی_بورس_را_دریاب 
#… @Khandoozi_se صدای سیلی استاندار رو شنیدین؟ 
از غارت مردم تو بورس خسته نشدین ؟
#ریيسی_از_بورس_بگو 
#رییسی_بورس_را_دریاب 
#خاندوزی",economics,-1,1
78863," RT @Leilan93226934: تابلوی بورس نماینده ی وضعیت اقتصادی و تولیدی کشور است.
شما با تولید و سرمایه ی مردمی که خود دعوتشان کردید،چه می کنید؟؟؟… تابلوی بورس نماینده ی وضعیت اقتصادی و تولیدی کشور است.
شما با تولید و سرمایه ی مردمی که خود دعوتشان کردید،چه می کنید؟؟؟؟۱۱
#استیضاح_وزیر_ناکارآمد
#استیضاح_خاندوزی 
 #نمره_صفر_به_عملکرد_خاندوزی 
#امنیت_سرمایه_گذاری   #بورس_دغدغه_مردم
#وقت_عمل
#بورس_را_دریابید",economics,-1,1
29682," در شرایطی که انرژی و زمان #نخبه های کشورمان مصروف حل چالشهای مخربی مانند #اینماد و #طرح_صیانت میشود: 
اتحادیه اروپا میلیاردها دلار سرمایه گذاری روی پروژه های #انقلاب_صنعتی_پنجم کرده است و شوربختانه احتمالا برای جبران کمبود #سرمایه_انسانی خودشان روی #مهاجرت_نخبگان ما حساب کرده اند https://t.co/rYKn7xezh2 ",economics,-1,0
91707, ببینید مسئولین ما دچار چه سطحی از بدفهمی موضوع هستن که کسی مثل نیلی که به زبان ساده صحبت میکنه نتونسته اینها رو قانع کنه. واقعا امید به چه اصلاحی داشته باشیم؟شخصا خاندوزی رو در قد و قواره نجات اقتصاد نمیبینم ,economics,-1,0
97756, اونی که میگفت خاندوزی بهترین وزیر اقتصاد تاریخ ایران میتونه بشه الان کجاست؟ ,economics,-1,1
61519, ابراهیم رئیسی ۵۰ وعده اقتصادی برأی,economics,0,0
95203, وزیر اقتصاد میگه ۱۵ مانع بر سر فروش اموال مازاد دولت هست و از رییس جمهور درخواست بخشنامه کرده تا موانع برداشته شود. آقای خاندوزی اکنون گرفتار قانونی است که خودش هم رای داده. بفرمایید ۳ ساختمان مازاد وزارت اقتصاد را تا آخر سال بفروشید. بسم ا... ,economics,0,0
78968, RT @exchangenews99: طرفداران #استیضاح_خاندوزی فقط می خوان به وزیر فشار وارد کنن برای تقویت بورس وگرنه خودشون هم می دونن برکناری وزیر هیچ در… طرفداران #استیضاح_خاندوزی فقط می خوان به وزیر فشار وارد کنن برای تقویت بورس وگرنه خودشون هم می دونن برکناری وزیر هیچ دردی رو دوا نمی کنه و نتیجه,economics,1,1
83407, RT @HzamaniM2: ما هم نگرانی به حق خاندوزی وزیراقتصاد از تصمیم,economics,1,0
57304, RT @AngelOnDuty06: آمریکا برای بازداشت ۲ ایرانی به نام,economics,0,0
48582, محسن رضایی: اگر ساتوشی ناکاموتو را اسیر کنیم قیمت بیت کوین از ۲۰۰ هزار دلار فراتر میرود https://t.co/PjcrFDxwB3 ,economics,0,0
5491," RT @maximusAJ1979: به نظر شما اونی که با وجود دیدن دلار ۳۱۰۰۰ تومنی و از بین رفتن قدرت خرید اکثریت مردم برا بدیهیات زندگی و بدبختی و بی آین… به نظر شما اونی که با وجود دیدن دلار ۳۱۰۰۰ تومنی و از بین رفتن قدرت خرید اکثریت مردم برا بدیهیات زندگی و بدبختی و بی آیندگی قشر بزرگی از جامعه به واسطه تحریمها  دم از عزت میزنه کیه؟ این چه نوع عزتی هست؟مگه به عرزشی ها چقدر حقوق میدن؟ کاش بیان اینجا و بگن 

#مذاکرات_وین",economics,-1,1
97378," RT @ehsanarkani_ir: این ایام اعتراضات مردمی زیادی از نابودی باقیمانده سرمایه و اعتمادشان در بازار #بورس به نمایندگان مجلس میرسد. 
دکتر #خان… این ایام اعتراضات مردمی زیادی از نابودی باقیمانده سرمایه و اعتمادشان در بازار #بورس به نمایندگان مجلس میرسد. 
دکتر #خاندوزی تا زمانی که وزیر اقتصاد نشده بود از پیگیری کنندگان جدی وضعیت بورس در مجلس و مطالبه از وزیراقتصاد بود. امیدوارم عمل به وعده",economics,1,1
6867," آقای رییسی گفتن اگه من رییس جمهور میشدم دلار میشد ۵ هزار تومان ولی خدارو شکر نمردیم و دوره ی ریاست جمهوری شما رو هم دیدیم دلار رو ۲۲ تحویل گرفتید و ۳۱ دارین تحویل مردم میدین
#با_رئیسی_تا_۱۴۰۴
#مذاکرات_وین #دلار #اصفهان #اصفهان_تنها_نیست https://t.co/Iz4P6HWPel ",economics,-1,0
95540, تکلیف خاندوزی به بانک,economics,0,0
79315," استیضاح خاندوزی الدنگ کلید خورد!

مردک بی شرف ",economics,-1,0
78583," RT @AzimiAfshin: @twit_bourse خواسته ی تمام جامعه بورسی فقط استیضاح وزیر اقتصاد و برکناری ناظران سلیقه ایست
ریسک یعنی با رفتار عادی بازار م… @twit_bourse خواسته ی تمام جامعه بورسی فقط استیضاح وزیر اقتصاد و برکناری ناظران سلیقه ایست
ریسک یعنی با رفتار عادی بازار معاملات رو انجام دادن ن بازار رو سرکوب کنند بگویند ریسک داره
#استیضاح_خاندوزی #استیضاح_وزیر_ناکارآمد #بورس_را_دریابید #بورس_ارزان",economics,-1,1
101614, @ehsand3q19 @DavariAbdolreza علی خامنه,economics,0,0
91601, @Khandoozi_se ایشالله خیر و خوشی تو زندگیت نبینی خاندوزی ،ایشالله خدا جواب این کارات. و بده،ایشالله داغ ببینی که مردم رو نابود کردی تو بورس ,economics,-1,1
83313,"در حال حاضر #بورس_ارزان است
 سهام تنها داراییه که در ۱۶ ماه گذشته خورده تو سرش وهنوز فاصله با سقفش داره در حالی که توی همین مدت نقدینگی به بیش از ۴۲۰۰ همت رسیده و دلار در کانال دوالحسینی هستش!
با اخطار رییس دستگاه قضا به ناظرها بزرگترین ریسک سیستماتیک برای شروع روند صعودی رفع شد #نمره_صفر_به_عملکرد_دولت_رئیسی #نمره_صفر_به_عملکرد_خاندوزی #تحریم_خرید_عرضه_اولیه
#امنیت_سرمایه_گذاری #استیضاح_وزیر_ناکارآمد #نه_به_قیمت_گذاری_دستوری #نه_به_نوسانگیری_الگوریتمی #خاندوزی_حیا_کن_اقتصاد_رو_رها_کن
#بورس #بورس_ارزان #بورس_دغدغه_مردم https://t.co/ajjxforH1l ",economics,-1,1
95092," @emranbasiri عمران جان
کلا سخنان و مطالب عنوان شده آقای خاندوزی قبل و بعد از وزیر شدنشون 180 درجه تغییر داشته و.... 
احتمالا بخاطر گشایشی هست که براشون بوجود آمده😅 ",economics,-1,1
92469, احسان خاندوزی از «تدابیری» برای دسترسی به پول,economics,0,0
92412," #واردات_خودرو ممنوع 
دهنوی نامه زده به خاندوزی قیمت گذاری دستوری خودرو را حذف کنید !
سهام های #خساپا و #خودرو چشبید به سقف ! 

جمله آخر خرید خودرو شخصی هم مثل #مسکن رویا می شود !!!!! ",economics,-1,1
81471, @tanha1358 والا میگفتن خاندوزی بهترینشونه وضع بورس که هر روز سرخ دلارشونم رفت ۳۰ به نظرم تا همینجا اگه استعفا بدن کلی از مشکلات ملک و ملت حل بشه یک جو غیرت میخواد که انقلابی ها خیلی اهلشن ,economics,-1,1
59297," @zagros_b2 سرور قراره وضعمون حسابی خوب بشه!

سوم شهریور محمد مخبر خبر از پایین آمدن قیمت دلار داد. این خبر کاملا درسته هر چند که بعد تکذیب شد.
#تشکیلات_بزرگ_ملی 
#بازگشت_به_مشروطه https://t.co/f5FnN7VRNG ",economics,-1,1
17325, RT @ehsanmzni: وضعیت بورس خیلی ناجور است، یکی,economics,-1,1
92021,"در روزهای سبز و قرمز، سوء مدیریت #بورس مشهود است. امروز نارضایتی مردم را به وزیر اقتصاد منتقل کردم. گزارش نظارتی کمیسیون را نیز اواسط شهریور به صحن علنی میفرستیم.
به ایشان گفتم برای تبدیل سقوط آزاد به فرود آرام، باید ""صندوق تثبیت"" فعلی تقویت شود.
نقد اساسی باشد برای بعد. جناب #خاندوزی زمانی که در مجلس بودن  سبز و قرمز بازار را ناشی از #سوء",economics,0,1
95169," + خب جناب خاندوزی در این مدت چه دستاوردی داشتند؟
- سامانه سوت زنی وزارت اقتصاد رو راه اندازی کردند. ",economics,-1,1
85750," @Khandoozi_se سهامداران بورس به خاک سیاه نشستند.مرسی که هستی  جناب خاندوزی
#خاندوزی_عامل_پولسوزی ",economics,-1,1
81576," RT @MitraRahimi6868: اگر خیلی وقت پیش از بهبود شرایط بورس نا امید شده بودم الان هم از نظر مالی و هم از نظر روحی وضعیت بهتری داشتم!
متاسفانه… اگر خیلی وقت پیش از بهبود شرایط بورس نا امید شده بودم الان هم از نظر مالی و هم از نظر روحی وضعیت بهتری داشتم!
متاسفانه امیدم، امید واهی بود
تو این خراب شده هیچ چیزی رو بهبود نیست...
#بورس
#خاندوزی_عامل_پولسوزی
#امنیت_سرمایه",economics,-1,1
97126, @mir_mahnaa خبرهایی از تحرک مجلس به گوش می,economics,0,0
83245, #بورس این خاندوزی و رئیسی ننه شون را  هم می فروشند چه برسه به  سهام های بورس. ,economics,-1,1
85806, امنیت اقتصادی ما اکنون در هاله ای از ابهام قرار دارد ، از طرفی وزیر اقتصاد آقای خاندوزی فردی را رئیس بانک مرکزی می کنند که اعتقاد به مشورت با صندوق بین,economics,-1,0
97466," الآن دقیقا شرایط رو یه جورایی مثل اتفاقات قبل از جهش دلار از سه تومن به پونزده تومن رو میبینم 
خاندوزی چکار داری میکنی دقیقا ؟ 
#ایرانولا ",economics,-1,0
96724," @Samsamesfahani @Khandoozi_se اون از اوجی 
اینم از خاندوزی 
وزرای تحمیلی 
به دولت رئیسی
و تحمیل رؤسای هلدینگها 
و مدیران رانتی 
به وزارتخانه ها ",economics,-1,1
77848, @Khandoozi_se جنب خاندوزی از تجربه بانک مرکزی ترکیه برای تقویت ریال میتوان بهره برد منبع تلگرام @Commodities https://t.co/BbCaGGDUbf ,economics,0,0
64846," حمایت رئیس جمهور از عرضه محصولات در بورس کالا / #رئیسی بر تامین #سیمان و #فولاد از طریق #بورس_کالا تاکید کرد

🔸سید ابراهیم رئیسی، رئیس جمهور اظهار کرد: باید دسترسی به مصالح ساختمانی مانند سیمان و فولاد آسان شود و بخش جدی آن باید از طریق بورس تامین شود.

https://t.co/JEu8v1mLMu ",economics,0,1
84621," RT @AhmadBakhshande: @Khandoozi_se آقای خاندوزی! شما وزیر اقتصاد هستی نه رییس کمیته امداد

شما قرار بود بورس و امنیت سرمایه گذاری رو سامان… @Khandoozi_se آقای خاندوزی! شما وزیر اقتصاد هستی نه رییس کمیته امداد

شما قرار بود بورس و امنیت سرمایه گذاری رو سامان بدی

الان همه ی حرفا و کارها اساسی تان هم، ختم شد به وام و قرض
دولت قرض کنه، مردم هم قرض کنن
#خاندوزی_عامل_پولسوزی
#دولت_شعار
#رییسی
#بورس
#امنیت_سرمایه_گذاری",economics,-1,1
91695," RT @fatemestyle: دولت روحانی ۷۰ درصد سرمایه مردم رو در #بورس نابود کرد و ۳۰ درصد مابقی رو به سید احسان خاندوزی وزیر اقتصاد رئیسی سپرد! خدا… دولت روحانی ۷۰ درصد سرمایه مردم رو در #بورس نابود کرد و ۳۰ درصد مابقی رو به سید احسان خاندوزی وزیر اقتصاد رئیسی سپرد! خدا قوت آقای وزیر! مجلس بخاطر بازگردوندن سرمایه مردم در بورس به شما رای اعتماد داد و شما یا وعده دروغ دادید یا ناتوانید
@Khandoozi_se https://t.co/cqwA8Kn5wU",economics,-1,-1
79356,"تابلوی قرمز معاملات بعد از گفتگوی تلویزیونی وزیر اقتصاد!

متاسفانه روابط عمومی سازمان بورس با انتشار اخبار اشتباه و ناقص به قصد تطهیر خاندوزی در حال ضربه زدن به بازار سهام است https://t.co/ZFMBNV1res دیروز علی مروی در گفتگوی ویژه خبری گفت قیمتها در یک دالان حرکت می کنند . وقتی فرق کانال  قیمت و دالان را نمی داند و به خاندوزی مشاوره می دهند اوضاع همین که روی تابلو می بینیم
خاندوزی بداند کسی پول نداده فریاد بزنیم بلکه پولمان در بازار سوخت و آتش گرفت
#استیضاح_وزیر_ناکارآمد https://t.co/cHTRDS4XRX ",economics,-1,1
91802, RT @miladrafiee_ir: ۱/ ام,economics,0,0
83962," نام کتاب: 
جوامع الحکایات ۷هزار صفحه ای برنامه آقای #رییسی با
 ۱۰ هزار صفحه برنامه گشایش های ویژه آقای #رضایی به علاوه لطیفه های آقای #عبدالملکی در مورد اقتصاد و ارزپاشی و کارآفرینی با یک میلیون تومان به همراه شرح ابتکارات آقای #خاندوزی
 
  #تصویر_هرگز_دیده_نشده https://t.co/NY7kVDKiae ",economics,1,1
82333," #استیضاح_خاندوزی
اقای خاندوزی ان همه حرف وقول شما چه شد!؟!؟! ",economics,-1,1
96552, @fagat_khodo کاش آقای خاندوزی با مردم قهر نباشه و بگه داره چیکار میکنه ,economics,-1,1
58850," @killer_whale97 اخررر نفهمیدم المینیومه یا قلع؟؟؟😬😬😬
اصلااا درهم کوبنده ی اقتصاد خودممم و محسن رضایی و بسسسس🤣🤣🤣🤣🤣🤣 ",economics,-1,0
99409,سر #هسته,economics,0,0
18058," @sarbaz313_1357 قرار بود مشکل بورس رو تو سه روز حل کنه.ارز ۴۲۰۰ رو سریع برداره.انتصابات فامیلی نکنه( نه خودش نه وزراش ) 

اینا واسه مردودی همین مدت زیاد هم بوده ",economics,-1,1
92282, @Khandoozi_se ان,economics,0,0
92628, @NimaTavakoli1 @PezhmanDoosti خاندوزی و عبدالملکی ,economics,0,0
95120, @Tasnimnews_Fa روحانی میگفت اگر ۷میلیارد کره ازاد بشه دلار میشه ۱۵ تومن تازه اونموقع دلار۲۵ بود الان که نصفیش ازاد شده دلار ۲۸ هرهفته هم دارند اوراق می فروشند.#رئیسی #خاندوزی ,economics,-1,0
79318," @Khandoozi_se عملکرد وزیر اقتصاد اقای احسان خاندوزی از 3 شهریور ماه !

#نرخ_بهره_بدون_ریسک از زمان وزارت ایشان از 21 درصد به 25 درصد رشد داشته !

#شاخص کل از زمان حضور ایشان از 1 میلیون و 575 هزارواحد به 1 میلیون و 300 هزارواحد رسیده و بیش از 270 هزارواحد ریزش را تجربه کرده است ! https://t.co/1H4JqNDRat ",economics,1,1
79891, @behnamsamadi_ir تمام بدبختی,economics,0,0
80710," RT @MinaRanjbar5: من یک سهامدار جز، امروز فهمیدم آقایی به نام خواجه نصیر مافیای بورس شده، امیدوارم دستگاه قضایی رسیدگی نماید.
#محاکمه_خواجه… من یک سهامدار جز، امروز فهمیدم آقایی به نام خواجه نصیر مافیای بورس شده، امیدوارم دستگاه قضایی رسیدگی نماید.
#محاکمه_خواجه_نصیر
#استیضاح_خاندوزی",economics,0,1
92466, @Khandoozi_se جناب خاندوزی ، رئیس بانک مرکزی رو خواهشاً سریع انتخاب کنید  تا مسئله قیمت دلار که متاسفانه دولت قبل اون رو عجیب وارد زندگی مردم کرد درست بشه ,economics,0,1
80771, RT @freedommesenger: آصفری نماينده مجلس: آقای #خاندوزی شما وقتی نماینده مجلس بودید [و روحانی رئیس جمهور] توئیت میزدید و از رفع مشکل #بورس ح… آصفری نماينده مجلس: آقای #خاندوزی شما وقتی نماینده مجلس بودید [و روحانی رئیس جمهور] توئیت میزدید و از رفع مشکل #بورس حرف میز,economics,-1,1
80411," کلیات پیشنهادات ۱۰ بندی که پیشتر دکتر #خاندوزی، وزارت #اقتصاد و سازمان بورس ارائه کرده بود، اما بخشی از آن در بودجه اعمال نشده بود، با حمایت قاطع رئیس جمهور در ستاد اقتصادی دولت به تصویب رسید.

#بودجه_۱۴۰۱ 
اصلاح میشود و اثرات چشمگیری بر محاسبات و سود سازی صنایع خواهد داشت! ",economics,1,1
10833, RT @Shahab_345: خیلی جالبه که من از روی افزایش قیمت دلار در ایران میتونم بفهمم که برنامه ج.ا. برای #مذاکرات_وین چیه، ولی کارشناسان 4+1 هنوز… خیلی جالبه که من از روی افزایش قیمت دلار در ایران میتونم بفهمم که برنامه ج.ا. برای #مذاکرات_وین چیه، ولی کارشناسان 4+1 هنوز نمیتونن.,economics,0,1
96788, @hassanpahlavann کدوم طرح؟! بعد اینکه سهامها رو به زیر صفر رسوندن الان میخان نوسان بگیرند! خاندوزی یک حروم لقمه است! با وضو جیب ملت رو زد! لعنت بر خاندوزی حروم لقمه. ,economics,-1,1
96003, RT @Mardetanha: خاندوزی وزیر اقتصاد رفته تو مجلس و دروغ مدعی رشد بورس شده که در دوره من بورس فلان شد و … فقط باید این ها رو بهش گفت https:/… خاندوزی وزیر اقتصاد رفته تو مجلس و دروغ مدعی رشد بورس شده که در دوره من بورس فلان شد و … فقط باید این ها رو بهش گفت https://t.co/af7J9qxS1t,economics,-1,1
83397," @alieyegane آخه چرا!!!! #خاندوزی چیکار داره میکنه

رئیس هیات مدیره سابق ایرانمال، معاون 
بانک و بیمه وزارت اقتصاد شد!

🔹سید عباس حسینی رئیس هیات مدیره سابق ایران مال، معاون امور بیمه و بانک وزارت اقتصاد شد. https://t.co/wCOH7wJVFg ",economics,-1,0
82452," #استیضاح_وزیر_ناکارآمد
خاندوزی نوشته معلم اقتصاده آخه بی پدر تو از اقتصاد چی می دونه ",economics,-1,0
96987, @golaraco هرکس به سهم خود تکه ای پیکر نحیف اقتصاد و اعتماد مردم را کند و برد و خورد،آقای خاندوزی هم به راه ناصواب میرود ,economics,-1,0
78044," RT @masoud36982729: این رانت خوار بی همه چیز که خودش سهامدار عمده ی قشرین و کرمان بوده و تو کف قیمت سهمو جارو کرده و تو سقف قیمت انداخته به… این رانت خوار بی همه چیز که خودش سهامدار عمده ی قشرین و کرمان بوده و تو کف قیمت سهمو جارو کرده و تو سقف قیمت انداخته به مردم از همه جا بی خبر ، یکی از مشاورین وزیر دوزاری اقتصاد هست که باعث ریزش بورس از همون مرداد ۹۹ شده ، میتونید برید حسابی از خجالتش در بیاید!
#استیضاح_خاندوزی https://t.co/Nlz3bkvBvH",economics,-1,1
96590, @AliMokhtarzade همانطور که راجبه لجن زاری که بورس داره ، اون طور واسه وزیر جوان تصمیم گرفتید و حمله کردید و بحث از جوان,economics,-1,1
95582, @twit_bourse خاندوزی خودش فاسد و دزد هست ,economics,-1,0
92253," @Khandoozi_se جناب خاندوزی درخواست شرکت های حوزه فين تک از رئيس بانک مرکزی اين هست که به انحصارهای ايجاد شده چندين ساله در معاونت فناوری های بانک مرکزی ورود کنن و به اين موضوع پايان بدن.
متاسفانه موارد مختلف تخلف در اين بخش مشهود و گزارش شده. ",economics,0,0
86390," @ali09673652 بنا به نظر منتقدین منصف و اکثریت اساتید آگاه به علم اقتصاد طی حدود ۱۰۰ روز وزارت خاندوزی حتی در گفتمان و مصاحبه ها نکته ای حداقلی که نشان از تخصص در وجود ایشان باشد شنیده نشده است.
#استیضاح_خاندوزی ",economics,-1,0
51995," RT @Hamed62467551: 13 خرداد 1400
سید ابراهیم رییسی:خسارت مردم در بورس را جبران خواهیم کرد.
e🇮🇷🇮🇷🇮🇷🇮🇷
#بورس #شاخص #تورم #پالایش_یکم #دلار #م… 13 خرداد 1400
سید ابراهیم رییسی:خسارت مردم در بورس را جبران خواهیم کرد.
e🇮🇷🇮🇷🇮🇷🇮🇷
#بورس #شاخص #تورم #پالایش_یکم #دلار #مهاجرت #ترکیه #کانادا https://t.co/MDJ0QpTeKK",economics,1,1
96939," @darabi66 نه ازبورس راضی هستن مردم نه از وضعیت اقتصادی 
اگر حرف بزنیم میگن هیییییس یا ضدانقلاب 
میشویم، 
اگر قرار است مدیران از دانشگاه امام صادق انتخاب شوند. پس درب دانشگاههای دیگر را 
گِل بگیرن، الان یک دیپلمه از خاندوزی بهتر 
مدیریت میکنه قراربود ۱۰ درصد لبنیات ارزان شود ۲۰ درصد گران شد ",economics,-1,1
85574, RT @MehreV: نه تنها خاندوزی بلکه رییسی و قالیباف هم بخاطر کلی دروغ گویی باید پاسخگو باشن. نه تنها خاندوزی بلکه رییسی و قالیباف هم بخاطر کلی دروغ گویی باید پاسخگو باشن. https://t.co/4d4GxD78aH,economics,-1,0
83450," این اقتصاد بیمار نیاز به یک #پرستار داره
برای بعداز جراحی اقتصادی هم نیاز به پرستار هست
چرا نمی",economics,0,0
96313, @Mohamad69531052 از اول هم خاندوزی اینکاره نبود ، تا آخر هم اینکاره نمیشه ,economics,-1,0
90133, حرفای ضرغامی رو باید وزیر اقتصاد یا کشاورزی می,economics,0,0
